"","Year","State","avg_AQI"
"158",1983,"Delaware",56
"159",1983,"District Of Columbia",62
"160",1983,"Florida",31.7368421052632
"161",1983,"Georgia",31.125
"162",1983,"Hawaii",36
"163",1983,"Idaho",55.5
"164",1983,"Illinois",44.7142857142857
"165",1983,"Indiana",67.5555555555556
"166",1983,"Iowa",37.4
"167",1983,"Kansas",48.5
"168",1983,"Kentucky",55.1875
"169",1983,"Louisiana",34.7647058823529
"170",1983,"Maine",44.5
"171",1983,"Maryland",43.5454545454545
"172",1983,"Massachusetts",58.1
"173",1983,"Michigan",41.5384615384615
"174",1983,"Minnesota",39.75
"175",1983,"Mississippi",25
"176",1983,"Missouri",49.375
"177",1983,"Montana",46.8
"178",1983,"Nebraska",34.5
"179",1983,"Nevada",37
"180",1983,"New Hampshire",42
"181",1983,"New Jersey",52.1333333333333
"182",1983,"New Mexico",49.2
"183",1983,"New York",55.7222222222222
"184",1983,"North Carolina",36.1052631578947
"185",1983,"North Dakota",28.8333333333333
"186",1983,"Ohio",52.6785714285714
"187",1983,"Oklahoma",35.8333333333333
"188",1983,"Oregon",37.8
"189",1983,"Pennsylvania",57.1363636363636
"190",1983,"Puerto Rico",32.6666666666667
"191",1983,"Rhode Island",45
"192",1983,"South Carolina",34.875
"193",1983,"Tennessee",48
"194",1983,"Texas",52.3333333333333
"195",1983,"Utah",58.1666666666667
"196",1983,"Vermont",32.6666666666667
"197",1983,"Virgin Islands",57
"198",1983,"Virginia",41.6
"199",1983,"Washington",45.5555555555556
"200",1983,"West Virginia",73.125
"201",1983,"Wisconsin",47.75
"202",1984,"Alabama",38.25
"203",1984,"Alaska",44.5
"204",1984,"Arizona",60.2222222222222
"205",1984,"Arkansas",21.5
"206",1984,"California",54.775
"207",1984,"Colorado",43.5
"208",1984,"Connecticut",54.6666666666667
"209",1984,"Delaware",54.6666666666667
"210",1984,"District Of Columbia",61
"211",1984,"Florida",39.9285714285714
"212",1984,"Georgia",44
"213",1984,"Hawaii",43
"214",1984,"Idaho",46
"215",1984,"Illinois",45.8
"216",1984,"Indiana",71.1111111111111
"217",1984,"Iowa",33
"218",1984,"Kansas",45
"219",1984,"Kentucky",50.3333333333333
"220",1984,"Louisiana",33.2941176470588
"221",1984,"Maine",45.5
"222",1984,"Maryland",40.6666666666667
"223",1984,"Massachusetts",61.2222222222222
"224",1984,"Michigan",44.6153846153846
"225",1984,"Minnesota",39.4444444444444
"226",1984,"Mississippi",30.25
"227",1984,"Missouri",49.25
"228",1984,"Montana",36.75
"229",1984,"Nebraska",31.5
"230",1984,"Nevada",57.5
"231",1984,"New Hampshire",57.75
"232",1984,"New Jersey",49.8
"233",1984,"New Mexico",42.7142857142857
"234",1984,"New York",55.3333333333333
"235",1984,"North Carolina",39
"236",1984,"North Dakota",35.8333333333333
"237",1984,"Ohio",52
"238",1984,"Oklahoma",34.3333333333333
"239",1984,"Oregon",40.7
"240",1984,"Pennsylvania",56.5
"241",1984,"Puerto Rico",31.6666666666667
"242",1984,"Rhode Island",48
"243",1984,"South Carolina",36.625
"244",1984,"Tennessee",54.8333333333333
"245",1984,"Texas",53.5333333333333
"246",1984,"Utah",65.5
"247",1984,"Vermont",33
"248",1984,"Virgin Islands",57
"249",1984,"Virginia",38
"250",1984,"Washington",41.4545454545455
"251",1984,"West Virginia",70.1111111111111
"252",1984,"Wisconsin",47
"253",1984,"Wyoming",18
"254",1985,"Alabama",39.25
"255",1985,"Alaska",50
"256",1985,"Arizona",74.1111111111111
"257",1985,"Arkansas",24.3333333333333
"258",1985,"California",55.1707317073171
"259",1985,"Colorado",39
"260",1985,"Connecticut",54.3333333333333
"261",1985,"Delaware",58.6666666666667
"262",1985,"District Of Columbia",64
"263",1985,"Florida",33
"264",1985,"Georgia",42.75
"265",1985,"Hawaii",25.5
"266",1985,"Idaho",70
"267",1985,"Illinois",45.9
"268",1985,"Indiana",67.1
"269",1985,"Iowa",27.2222222222222
"270",1985,"Kansas",32.75
"271",1985,"Kentucky",48.9375
"272",1985,"Louisiana",38.9230769230769
"273",1985,"Maine",42.9
"274",1985,"Maryland",41.9166666666667
"275",1985,"Massachusetts",58.6666666666667
"276",1985,"Michigan",39.5833333333333
"277",1985,"Minnesota",37
"278",1985,"Mississippi",30
"279",1985,"Missouri",45.6
"280",1985,"Montana",40.75
"281",1985,"Nebraska",30.3333333333333
"282",1985,"Nevada",57.5
"283",1985,"New Hampshire",62
"284",1985,"New Jersey",50
"285",1985,"New Mexico",37.8571428571429
"286",1985,"New York",52.2631578947368
"287",1985,"North Carolina",43.2352941176471
"288",1985,"North Dakota",31.5
"289",1985,"Ohio",51.3928571428571
"290",1985,"Oklahoma",39.2
"291",1985,"Oregon",39.5
"292",1985,"Pennsylvania",56.4545454545455
"293",1985,"Puerto Rico",33
"294",1985,"Rhode Island",50
"295",1985,"South Carolina",35.2857142857143
"296",1985,"South Dakota",26.6666666666667
"297",1985,"Tennessee",48.5384615384615
"298",1985,"Texas",43.6111111111111
"299",1985,"Utah",58.2
"300",1985,"Vermont",34
"301",1985,"Virgin Islands",46
"302",1985,"Virginia",39.4375
"303",1985,"Washington",43.2142857142857
"304",1985,"West Virginia",67.6666666666667
"305",1985,"Wisconsin",44.6
"306",1985,"Wyoming",29.3333333333333
"307",1986,"Alabama",43.5
"308",1986,"Alaska",37.6666666666667
"309",1986,"Arizona",60.4
"310",1986,"Arkansas",26
"311",1986,"California",55.063829787234
"312",1986,"Colorado",43.8
"313",1986,"Connecticut",51.6666666666667
"314",1986,"Delaware",52
"315",1986,"District Of Columbia",65
"316",1986,"Florida",35.4285714285714
"317",1986,"Georgia",45.8
"318",1986,"Hawaii",21.5
"319",1986,"Idaho",34.625
"320",1986,"Illinois",45.1904761904762
"321",1986,"Indiana",60.3684210526316
"322",1986,"Iowa",33.1111111111111
"323",1986,"Kansas",36.5
"324",1986,"Kentucky",47.25
"325",1986,"Louisiana",39.5384615384615
"326",1986,"Maine",43.6
"327",1986,"Maryland",46.4444444444444
"328",1986,"Massachusetts",56.4444444444444
"329",1986,"Michigan",38.3636363636364
"330",1986,"Minnesota",35.4
"331",1986,"Mississippi",32.75
"332",1986,"Missouri",46.8
"333",1986,"Montana",47.3076923076923
"334",1986,"Nebraska",35.6666666666667
"335",1986,"Nevada",55
"336",1986,"New Hampshire",55.25
"337",1986,"New Jersey",46.4
"338",1986,"New Mexico",36.8571428571429
"339",1986,"New York",51.05
"340",1986,"North Carolina",45.8333333333333
"341",1986,"North Dakota",26.2
"342",1986,"Ohio",51
"343",1986,"Oklahoma",42.3333333333333
