Region,Region codes,Data item,2019,2020,2021,2022,2023
New South Wales,1,Beef cattle - Total (no.),"4876655","4680338","5289387","5531347","5875848"
Victoria,2,Beef cattle - Total (no.),"2625289","2554323","2652678","2717340","2852670"
Queensland,3,Beef cattle - Total (no.),"13076299","12250098","12489834","12689803","13222421"
South Australia,4,Beef cattle - Total (no.),"1014182","1043079","1073491","1096539","1146481"
Western Australia,5,Beef cattle - Total (no.),"2129548","2179267","2279933","2168899","2256399"
Tasmania,6,Beef cattle - Total (no.),"507134","560057","550410","523044","556250"
Northern Territory,7,Beef cattle - Total (no.),"2422008","2072481","2005153","1860084","1906115"
